movieId,mean,count
0,3.9209302325581397,215
1,3.2596153846153846,52
2,3.946078431372549,102
3,3.9753694581280787,203
4,4.237745098039215,204
5,3.5090909090909093,55
6,3.782608695652174,23
7,4.031645569620253,237
8,3.5454545454545454,44
9,2.8636363636363638,11
10,3.5606060606060606,66
11,3.326530612244898,49
12,3.855769230769231,104
13,3.0601503759398496,133
14,3.6785714285714284,70
15,4.231075697211155,251
16,4.197068403908795,307
17,3.375,140
18,3.78,50
19,3.6045454545454545,110
20,4.164133738601824,329
21,3.5294117647058822,34
22,3.1847133757961785,157
23,2.85,10
24,3.9285714285714284,42
25,3.9921052631578946,190
26,3.75,238
27,3.388888888888889,144
28,4.225,220
29,3.317073170731707,41
30,3.262295081967213,61
31,3.8153846153846156,65
32,3.8353658536585367,164
33,3.4285714285714284,189
34,4.161290322580645,279
35,3.45,60
36,4.116022099447513,181
37,3.537037037037037,162
38,3.4489795918367347,49
39,2.707547169811321,53
40,3.6404958677685952,121
41,3.321138211382114,123
42,3.4455445544554455,202
43,3.25,8
44,3.880434782608696,92
45,4.043478260869565,69
46,4.0,8
47,3.9285714285714284,7
48,4.083333333333333,18
49,3.0555555555555554,9
50,3.6153846153846154,13
51,3.6666666666666665,6
52,3.58,25
53,3.3857142857142857,35
54,2.7666666666666666,15
55,3.4791666666666665,24
56,3.375,40
57,3.2738095238095237,42
58,3.4761904761904763,21
59,3.6944444444444446,36
60,3.8739495798319328,119
61,3.9269662921348316,89
62,4.202290076335878,131
63,3.984126984126984,63
64,3.1914893617021276,47
65,3.7663934426229506,122
66,3.475806451612903,62
67,4.161764705882353,136
68,4.2156398104265405,211
69,4.232394366197183,142
70,4.2075,200
71,3.995833333333333,120
72,4.219626168224299,107
73,4.137755102040816,196
74,4.25,126
75,3.969178082191781,146
76,4.036144578313253,83
77,3.8095238095238093,84
78,4.098039215686274,102
79,4.0,19
80,3.5,6
81,3.8969465648854964,131
82,3.8043478260869565,23
83,4.08256880733945,109
84,3.944055944055944,143
85,4.038011695906433,171
86,3.7291666666666665,48
87,3.9927536231884058,69
88,3.7830188679245285,53
89,4.046428571428572,140
90,3.760869565217391,23
91,3.53125,16
92,3.025,60
93,3.4782608695652173,46
94,3.8333333333333335,39
95,2.142857142857143,7
96,4.0,1
97,3.610169491525424,59
98,3.535,100
99,3.0338983050847457,59
100,3.3701298701298703,77
101,3.487878787878788,165
102,3.2580645161290325,31
103,4.061855670103093,97
104,3.1153846153846154,13
105,3.7012987012987013,77
106,2.109375,32
107,3.33125,80
108,3.9245283018867925,106
109,3.419642857142857,56
110,4.0,2
111,3.0,3
112,3.0161290322580645,31
113,2.8333333333333335,18
114,4.35,10
115,3.828125,64
116,3.8214285714285716,42
117,3.6733333333333333,75
118,3.5701754385964914,57
119,3.3693181818181817,88
120,3.3684210526315788,38
121,4.1462765957446805,188
122,3.75,8
123,3.2083333333333335,24
124,3.5625,8
125,2.7573529411764706,68
126,3.35,30
127,3.830188679245283,53
128,3.1923076923076925,13
129,3.0,6
130,3.2564102564102564,39
131,3.409090909090909,22
132,3.4166666666666665,6
133,3.34,50
134,3.638888888888889,108
135,3.1333333333333333,15
136,3.5476190476190474,21
137,3.4761904761904763,21
138,3.1666666666666665,18
139,3.076923076923077,13
140,3.5813953488372094,43
141,3.4725274725274726,91
142,3.3375,40
143,2.375,20
144,3.789473684210526,57
145,3.261904761904762,42
146,3.7,80
147,4.217054263565892,129
148,2.0555555555555554,18
149,3.4925373134328357,67
150,3.64,25
151,3.4375,16
152,1.8888888888888888,9
153,3.544642857142857,56
154,3.4537037037037037,54
155,3.3636363636363638,11
156,3.3,35
157,2.15625,16
158,3.269230769230769,13
159,3.175438596491228,57
160,3.1346153846153846,26
161,3.0,7
162,4.090425531914893,94
163,3.2291666666666665,24
164,3.8035714285714284,56
165,4.052238805970149,67
166,4.192446043165468,278
167,3.9615384615384617,39
168,3.7916666666666665,12
169,2.8846153846153846,26
170,3.1206896551724137,87
171,3.107142857142857,140
172,3.6065573770491803,61
173,3.020408163265306,49
174,3.3333333333333335,9
175,3.909090909090909,11
176,3.6,5
177,3.3412698412698414,63
178,4.0,75
179,3.861842105263158,76
180,3.775,120
181,4.051282051282051,39
182,3.71978021978022,91
183,2.9038461538461537,26
184,4.056372549019608,204
185,3.64,25
186,3.0,3
187,3.653409090909091,88
188,3.96875,32
189,3.839622641509434,53
190,3.75,36
191,3.712121212121212,33
192,4.272935779816514,218
193,3.3714285714285714,70
194,3.5721649484536084,97
195,3.6956521739130435,23
196,3.4791666666666665,24
197,3.9545454545454546,99
198,3.483050847457627,59
199,3.513888888888889,36
200,3.6455696202531644,79
201,3.909090909090909,11
202,4.0,11
203,4.148648648648648,111
204,3.603448275862069,29
205,3.336734693877551,49
206,2.4,15
207,3.0277777777777777,36
208,3.4754098360655736,61
209,2.6724137931034484,29
210,3.5,31
211,2.6923076923076925,13
212,2.0714285714285716,14
213,3.4285714285714284,14
214,3.802325581395349,43
215,3.293103448275862,29
216,3.3333333333333335,18
217,3.358490566037736,53
218,3.581967213114754,61
219,3.9382352941176473,170
220,3.0853658536585367,41
221,3.5833333333333335,18
222,3.935483870967742,62
223,3.486842105263158,38
224,4.0375,40
225,4.0,3
226,3.857142857142857,28
227,2.6578947368421053,19
228,3.699248120300752,133
229,3.2714285714285714,35
230,3.357142857142857,7
231,3.9347826086956523,46
232,4.429022082018927,317
233,4.078014184397163,141
234,3.9618320610687023,131
235,3.7613636363636362,44
236,3.25,28
237,4.252336448598131,107
238,4.238255033557047,149
239,3.5535714285714284,28
240,4.136363636363637,88
241,3.8773584905660377,53
242,4.022388059701493,67
243,4.038461538461538,13
244,4.066433566433567,143
245,3.9545454545454546,22
246,4.291666666666667,12
247,4.055555555555555,9
248,3.727272727272727,11
249,3.9934210526315788,76
