userId,mean,count
0,4.366379310344827,232
1,3.9482758620689653,29
2,2.4358974358974357,39
3,3.5555555555555554,216
4,3.6363636363636362,44
5,3.4936305732484074,314
6,3.2302631578947367,152
7,3.574468085106383,47
8,3.260869565217391,46
9,3.2785714285714285,140
10,3.78125,64
11,4.390625,32
12,3.6451612903225805,31
13,3.3958333333333335,48
14,3.448148148148148,135
15,3.7244897959183674,98
16,4.20952380952381,105
17,3.7320717131474104,502
18,2.607396870554765,703
19,3.590909090909091,242
20,3.260722347629797,443
21,2.5714285714285716,119
22,3.6487603305785123,121
23,3.65,110
24,4.8076923076923075,26
25,3.238095238095238,21
26,3.5481481481481483,135
27,3.020175438596491,570
28,4.1419753086419755,81
29,4.735294117647059,34
30,3.92,50
31,3.7549019607843137,102
32,3.7884615384615383,156
33,3.4186046511627906,86
34,4.086956521739131,23
35,2.6333333333333333,60
36,4.142857142857143,21
37,3.217948717948718,78
38,4.0,100
39,3.766990291262136,103
40,3.2534562211981566,217
41,3.565909090909091,440
42,4.552631578947368,114
43,3.3541666666666665,48
44,3.8759398496240602,399
45,4.0,42
46,3.0535714285714284,140
47,4.03030303030303,33
48,4.261904761904762,21
49,2.7806451612903227,310
50,3.7757660167130918,359
51,4.476923076923077,130
52,5.0,20
53,3.0303030303030303,33
54,2.84,25
55,3.8043478260869565,46
56,3.392857142857143,476
57,3.9017857142857144,112
58,4.355140186915888,107
59,3.727272727272727,22
60,4.051282051282051,39
61,4.081967213114754,366
62,3.6309963099630997,271
63,3.7688588007736943,517
64,4.029411764705882,34
65,4.0202898550724635,345
66,3.9722222222222223,36
67,3.233730158730159,1260
68,4.369565217391305,46
69,4.32258064516129,62
70,3.6,35
71,4.155555555555556,45
72,3.711904761904762,210
73,4.271186440677966,177
74,3.2318840579710146,69
75,3.0840336134453783,119
76,4.0,29
77,3.1639344262295084,61
78,4.203125,64
79,4.2604790419161676,167
80,2.769230769230769,26
81,3.381057268722467,227
82,3.309322033898305,118
83,3.689419795221843,293
84,3.7058823529411766,34
85,3.9285714285714284,70
86,3.9523809523809526,21
87,4.035714285714286,56
88,3.472972972972973,518
89,4.074074074074074,54
90,3.3956521739130436,575
91,3.9375,24
92,4.288659793814433,97
93,3.0357142857142856,56
94,4.0625,168
95,3.8846153846153846,78
96,4.194444444444445,36
97,3.9130434782608696,92
98,3.8679245283018866,53
99,3.945945945945946,148
100,3.557377049180328,61
101,3.357142857142857,56
102,3.907161803713528,377
103,3.5073260073260073,273
104,4.116343490304709,722
105,4.4393939393939394,33
106,3.911764705882353,34
107,3.986842105263158,76
108,3.220472440944882,127
109,3.7254901960784315,51
110,3.3397832817337463,646
111,3.5923076923076924,65
